risk_score,address,borough,bldgclass,garage_type,yearbuilt,numfloors,has_chargers,total_ev_ports,sprinkler_permits_count,sprinkler_last_date,fire_violations_count,bldgarea_sqft,garagearea_sqft,small_garage,lat,lon,reasons
24,4620 11 STREET,QN,R4,under_residential,2017,7.0,False,0,0,none,0,40071.0,3303.0,False,40.7459962,-73.9508209,"built 2017, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 7 floors, multi-story (+10); FDNY: 2 open inspection/testing violation(s) (+4)"
24,46-09 11 STREET,QN,D3,under_residential,2013,6.0,False,0,2,2013-09-05,0,66824.0,3200.0,False,40.7460096,-73.9501425,"built 2013, modern code (+5); DOB sprinkler permit on record (+0); 6 floors, multi-story (+10); FDNY: 3 open inspection/testing violation(s) (+9)"
24,40-05 CRESCENT STREET,QN,RM,under_residential,2017,5.0,False,0,0,none,0,64538.0,21037.0,False,40.7531619,-73.9377679,"built 2017, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 5 floors, multi-story (+10); FDNY: 2 open inspection/testing violation(s) (+4)"
24,31-38 137 STREET,QN,RM,under_residential,2007,0.0,False,0,0,none,0,20948.0,1071.0,True,40.7684589,-73.831391,"built 2007, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); FDNY: 2 open sprinkler maintenance violation(s) (+14)"
24,136-46 41 AVENUE,QN,RM,under_residential,2008,7.0,False,0,0,none,0,41574.0,2448.0,True,40.758726,-73.8276941,"built 2008, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 7 floors, multi-story (+10); FDNY: 2 open inspection/testing violation(s) (+4)"
24,43-53 MAIN STREET,QN,D7,under_residential,2016,7.0,False,0,0,none,0,65910.0,6273.0,False,40.7513806,-73.8255584,"built 2016, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 7 floors, multi-story (+10); FDNY: 1 open sprinkler maintenance, 1 other open fire protection violation(s) (+4)"
24,158-15 UNION TURNPIKE,QN,RM,under_residential,2017,4.0,False,0,1,2019-09-16,0,67511.0,11100.0,False,40.7206507,-73.8085389,"built 2017, modern code (+5); DOB sprinkler permit on record (+0); 4 floors, multi-story (+10); FDNY: 3 open inspection/testing violation(s) (+9)"
23,353 SPRING STREET,MN,R0,under_residential,2011,0.0,False,0,0,none,0,430887.0,430887.0,False,40.7268232,-74.0102392,"built 2011, modern code (+5); No DOB sprinkler permit on record and no FDNY violation confirming a system; sprinkler status unknown (+15); FDNY: 1 open inspection/testing violation(s) (+3)"
23,133 WEST 11 STREET,MN,RM,under_residential,2013,17.0,True,3,30,2025-12-05,0,533883.0,16191.0,False,40.7365483,-74.0000072,"built 2013, modern code (+5); DOB sprinkler permit on record (+0); 17 floors, multi-story (+10); FDNY: 1 open inspection/testing violation(s) (+3); EV chargers: 3 L2 + 0 DC fast (+5)"
23,400 WEST 61ST STREET,MN,RM,under_residential,2016,38.0,False,0,8,2022-07-27,1,846331.0,54203.0,False,40.7732919,-73.9915841,"built 2016, modern code (+5); DOB sprinkler permit on record (+0); 38 floors, multi-story (+10); 1 DOB critical violation(s) (emergency/unsafe/structural) (+8)"
23,450 EAST 83 STREET,MN,RM,under_residential,2005,27.0,False,0,12,2021-03-29,1,198774.0,13924.0,False,40.7739177,-73.9490095,"built 2005, modern code (+5); DOB sprinkler permit on record (+0); 27 floors, multi-story (+10); 1 DOB critical violation(s) (emergency/unsafe/structural) (+8)"
23,117 WEST 123 STREET,MN,R4,under_residential,2008,8.0,False,0,0,none,0,35232.0,2106.0,True,40.8071063,-73.9473694,"built 2008, modern code (+5); FDNY violation confirms sprinkler system (no modern DOB record) (+5); 8 floors, multi-story (+10); FDNY: 1 open sprinkler maintenance violation(s) (+3)"
23,203 WEST 146 STREET,MN,D9,under_residential,2010,8.0,False,0,2,2011-09-29,1,61549.0,4531.0,False,40.8228075,-73.9391914,"built 2010, modern code (+5); DOB sprinkler permit on record (+0); 8 floors, multi-story (+10); 1 DOB critical violation(s) (emergency/unsafe/structural) (+8)"
23,2568 PARK AVENUE,BX,H3,institutional,2018,10.0,False,0,1,2020-06-26,1,44315.0,11200.0,False,40.8128791,-73.9283736,"built 2018, modern code (+5); DOB sprinkler permit on record (+0); 10 floors, multi-story (+10); 1 DOB critical violation(s) (emergency/unsafe/structural) (+8)"
